line,folktale.ID,transcription,gloss,english,japanese,,
1.20.,K7708241UP,hokure pirkano e= ipere wa mimus yakne a= e yak a= ekironnu kusu ne na,quickly be.good-ADV 2SG.A= eat-CAUS and meat-attatch.to when 4.A= eat if 4.A= by.APPL-strength-have because COP SGST,"Make him eat a lot and when he’s fat, you will feel well fed if you eat him then",さあ、よく⾷事をさせて太ったところで⾷べれば満腹になるぞ。,,
1.21,K7708241UP,ene an upen kam ney ta ka a= pa rusuy h_ike ka,like.this exist.SG be.young meat where at even 4.A= find DESID but even,"I wanted to find some young meat like this somewhere,",こんな若い⾁をどこかで⾒つけたいものだと思っていたが、,,
1.22,K7708241UP,a= pa ka somo ki a p,4.A= find even NEG do PERF.SG but,"but it was difficult to find.""",⾒つけられないでいたのだ」,,
1.23,K7708241UP,sekor hawean kor ki a korka,QUOT voice-POSS-exist.SG and do PERF.SG but,"While he was saying this,",と⾔いながら⼊っていったのだが、,,
1.24,K7708241UP,a= sitoma katun ki ka a= eaykap kusu,4.A= be.afraid.of shape-belong.to do even 4.A= about.APPL-be.unable becuase,"[I stayed quiet,] unable to even be afraid,",私は恐ろしがることすらできずに、,,
1.25,K7708241UP,mosmano an =an,other-ADV exist.SG =4.S,I stayed quiet,黙っていた。,,
1.26,K7708241UP,orano pon oni suke,then be.small devil cook,"Then, the little demon cooked dinner",すると⼩⻤は料理を作った。,,
1.27,K7708241UP,pirkano suke wa i= ipere,be.good-ADV cook and 4.O= eat-CAUS,He fed me and the food was really good,上⼿に料理をして⾷べさせてくれた。,,
1.28,K7708241UP,ipe =an kor an =an a p,eat =4.S and exist.SG =4.S PERF.SG but,"While we were eating,",⾷べているうちに、,,
1.29,K7708241UP,konto oni ekimne wa isam h_i kusu,then devil go.to.mountains and not.exist NMLZ because,the demon went to the mountain,⻤は⼭へ⾏ってしまったので、,,
1.30.,K7708241UP,pon oni e= ne wa hnta e= onaha enupur?,be.small evil 2.SG.A= COP and what 2.SG.(A)= father-POSS by.APPL-practice.magic,"“Little demon, what sort of magic does your father practice?”",「⼩⻤さんよ。お前の⽗さんはどんなもので術を使うのだね？」,,
1.31,K7708241UP,sekor hawean =an akusu,QUOT voice-POSS-exist.SG =4.S then,"I asked,",と⾔うと、,,
1.32,K7708241UP,a= onaha enupur pe,4.(A)= father-POSS by.APPL-practice.magic NMLZ,"“Father practices magic,",「⽗さんは、,,
1.33,K7708241UP,kunne katak retar katak ne wa enupur pe ne,be.black thread-lump be.white thread-lump COP and by.APPL-practice.magic NMLZ COP,"he practices magic with a ball of black string and a ball of white string.""",⿊い⽷⽟と⽩い⽷⽟で術を使うよ」,,
1.34,K7708241UP,sekor hawean h_i kusu,QUOT voice-POSS-exist.SG NMLZ because,he said,と⾔うので、,,
1.35,K7708241UP,mak a= eywanke p an?,how 4.A= use NMLZ exist.SG,“How does he do it?”,「どんなふうに使うのだい？」,,
1.36,K7708241UP,sekor hawean =an akusu,QUOT voice-POSS-exist.SG =4.S then,I asked,と⾔うと、,,
1.37,K7708241UP,kunne katak sietok un a= osura kor sirkunne,be.black thread-lump REFL-behind to/at 4.A= throw.away-TR.SG when/if NI.apprearance-be.bright NMLZ COP and,“If one throws the ball of black string forward the area in front of him becomes dark,「⿊い⽷⽟を前に投げるとあたりが暗くなる。,,
1.38,K7708241UP,retar katak sioka un a= osura kor sirpeker pe ne wa,escape =4.S when/if be.white thread-lump RELF-before to/at 4.A= throw.away-TR.SG and,"If one throws the ball of white string backward, the area behind him becomes light",⽩い⽷⽟を後ろに投げるとあたりが明るくなるので、,,
1.39,K7708241UP,kira =an kor retar katak sietok un a= osura wa,REFL-behind to/at be.black thread-lump 4.A= throw.away-TR.SG when/if,"So, when one is escaping, if he throws the ball made of white string in front,",逃げるときに⽩い⽷⽟を前に投げて、,,
1.40.,K7708241UP,sioka un kunne katak a= osura kor,REFL-behind to/at be.black thread-lump 4.A= throw.away-TR.SG when/if,and throws a ball made of black string in back backward,後ろに⿊い⽷⽟を投げると,,
1.41,K7708241UP,somo a= i= oskoni p ne wa an ne yak a= onaha ye,NEG 4.A= 4.O= catch.up.with NMLZ COP and exist.SG COP COMP 4.(A)= father-POSS say/tell,"no one can overtake him, Father said",追いつかれないのだって、⽗さんが⾔っていたよ」,,
1.42,K7708241UP,sekor kane hawean h_i kusu,QUOT somewhat voice-POSS-exist.SG NMLZ because,"he said, so",と⾔うので、,,
1.43,K7708241UP,sanke wa i= nukare yak pirka.,"front.place-INTR.SG-CAUS and 4.O= see-CAUS if be,good",“Won’t you get them out and show them to me?”,「出して⾒せてくれないか」,,
1.44,K7708241UP,sekor hawean =an akus,QUOT voice-POSS-exist.SG =4.S then,I asked,と⾔うと、,,
1.45,K7708241UP,a= sanke yak a= ona i= koyki kusu,4.A= front.place-INTR.SG-CAUS if/then 4.(A)= father.POSS 4.O= get.angry.with because,"“If I get them out, Father would be angry,",「出したら、⽗さんに怒られるから、,,
1.46,K7708241UP,somo a= sanke,NEG 4.A= front.place-INTR.SG-CAUS,"so I won’t do it.""",出さないよ」,,
1.47,K7708241UP,sekor hawean yakka,QUOT voice-POSS-exist.SG although,he replied,と答えたが、,,
1.48,K7708241UP,sanke wa i= nukare poka ki yak pirka.,front.place-INTR.SG-CAUS and 4.O= see-CAUS only do if be.good,“It’s OK just to show me”,「出して⾒せてくれるだけでいいから」,,
1.49,K7708241UP,sekor kane hawean =an akusu,QUOT somewhat voice-POSS-eixst.SG =4.S then,"I said, and",と⾔うと、,,
1.50.,K7708241UP,sanke hine i= nukare hine,front.place-INTR.SG-CAUS and 4.O= see-CAUS and,he did get the ball of string out,出してきて⾒せてくれ、,,
1.51,K7708241UP,tap neno tap neno a= eywanke p ne.,this as this as 4.A= use thing/person COP,"“This is how he does it.""",「こんなふうに、こんなふうに使うものだよ」,,
1.52,K7708241UP,sekor hawean h_i kusu oraun,QUOT voice-POSS-exist.SG NMLZ because then,"he said, so",と⾔うので、そこで,,
1.53,K7708241UP,mosma hnta e= ona enupur?,another what 2SG.(A)= father.POSS by.APPL-practice.magic,“What other sorts of magic does your father practice?”,「他にどんなもので、⽗さんは術を使うのだね？」,,
1.54,K7708241UP,sekor hawean =an ruwe ne akusu,QUOT voice-POSS-exist.SG =4.S INFR.EV COP then,I asked,と⾔うと、,,
1.55,K7708241UP,ane kem ruwe kem a= ona enupur.,be.thin needle be.thick needle 4.(A)= father.POSS by.APPL-practice.magic,"“Father practices magic with a thin needle and a thick needle.""",「細い針、太い針で、⽗さんは術を使うよ」,,
1.56,K7708241UP,sekor hawean kusu,QUOT voice-POSS-exist.SG because,he said,と⾔うので、,,
1.57,K7708241UP,mak a= eywanke p an?,how 4.A= use NMLZ exist.SG,“How does he use them?,「どんなふうに使うのだい」,,
1.58,K7708241UP,sekor hawean =an akusu,QUOT voice-POSS-exist.SG =4.S then,I asked,と聞くと、,,
1.59,K7708241UP,ane kem sihekote a= turi kor ray =an.,be.thin needle REFL-towards 4.A= stretch-TR.SG when/if die =4.S,"“If one moves the thin needle toward himself, then he dies",「細い針を⾃分のほうに伸ばすと死んでしまう。,,
1.60.,K7708241UP,ruwe kem sihekote a= etaye kor siknu =an pe ne,be.thick needle RELF-towards 4.A= pull.out-TR.SG when/if be.alive =4.S NMLZ COP,"If one pulls the thick needle toward himself, then he will come back to life,”",太い針を⾃分のほうに引っ張ると、⽣き返るんだ」,,
1.61,K7708241UP,sekor kane hawean h_i kusu,QUOT somewhat voice-POSS-eixst.SG NMLZ because,and so he said,などと⾔うので、,,
1.62,K7708241UP,sanke wa i= nukare yak pirka.,front.place-INTR.SG-CAUS and 4.O= see-CAUS if be.good,“Won’t you get them out and show me?”,「出して⾒せてくれないか」,,
1.63,K7708241UP,sekor kane hawean =an ruwe ne akusu,QUOT somewhat voice-POSS-exist.SG =4.S INFR.EV COP then,I asked,と⾔うと,,
1.64,K7708241UP,kopan hikeka a= ye ayne mina tura,decline though 4.A= say/tell finally laugh together.with,"He didn’t like it [when I asked], but I asked him over and over and over with a smile on my face",嫌がったけれど、しつこく頼んでほほえみながら、,,
1.65,K7708241UP,nen ka kira =an ka somo ki p ne kus,where even escape =4.S even NEG do NMLZ COP because,“I won’t escape anywhere,「どこへ逃げたりもしないから。,,
1.66,K7708241UP,pon oni sanke wa i= nukare yakne,be.small devil front.place-INTR.SG-CAUS and 4.O= see-CAUS then,If only you would show them to me,⼩⻤君が出して⾒せてくれたら、,,
1.67,K7708241UP,mismu =an kusu a= nukar kusu ne,fell.sad =4.S because 4.A= see because COP,"I just want to see them because I’m bored""""",退屈だから⾒たいだけだから」。,,
1.68,K7708241UP,sekor hawean =an akusu,QUOT voice-POSS-exist.SG=4.S then,I said,そう⾔うと、,,
1.69,K7708241UP,pon oni sanke hine i= nukare,be.small devil front.place-INTR.SG-CAUS and 4.O= see-CAUS  ,"Then, the little demon did bring them out and show me",⼩⻤は出して⾒せてくれた。,,
1.70.,K7708241UP,tap neno tap neno a= eywanke p ne.,this as this as 4.A= use NMLZ COP,"“One uses them this way and that way.""",「これこれこんなふうに使うものだよ」,,
1.71,K7708241UP,sekor y_e,QUOT say/tell,he said,と⾔う。,,
1.72,K7708241UP,a= teke omare yak a= nukar kusu ne.,4.(A)= hand-POSS enter-CAUS if 4.A= see because COP,"“Please put them in my hand so I can see them,”",「⼿に持たせて⾒せておくれ」,,
1.73,K7708241UP,sekor hawean =an ruwe ne akusu,QUOT voice-POSS-exist.SG =4.S INFR.EV COP then,"I said,",と⾔うと、,,
1.74,K7708241UP,a= teke ane kem ruwe kem omare h_i kusu,4.(A)= hand-POSS be.thin needle be.thick needle  enter-CAUS NMLZ because,he put the thin needle and the thick needle in my hand,私の⼿に細い針太い針を持たせてくれたので、,,
1.75,K7708241UP,"“sekor h_e?""",QUOT Q,“Like this?”,「こんなふうにか？」,,
1.76,K7708241UP,sekor hawean =an kor,QUOT voice-POSS-exist.SG =4.S and,"I asked, and",と⾔いながら、,,
1.77,K7708241UP,ane kem hekote a= turi ruwe ne kusu ray ruwe ne hi kusu,be.thin needle towards 4.A= stretch-TR.SG INFR.EV COP because die INFR.EV COP NMLZ because,I moved the thin needle toward the little demon and he died,細い針を⼩⻤に向けて伸ばしたので、⼩⻤は死んでしまった。,,
1.78,K7708241UP,ora nea retar katak kunne katak a= uk h_ine,then that be.white thread-lump be.black thread-lump 4.A= take.SG and,"Then, I took the ball of white string and the ball of black string,",そこでその⽩い⽷⽟、⿊い⽷⽟をとって,,
1.79,K7708241UP,orano kira =an h_ine ma =an hine heyasi yan =an kusu ma =an ruwe ne akusu,then escape =4.S and swim =4.S and head.PF-shore-stand-TR.SG land-INTR.SG =4.S because swim =4.S INFR.EV COP then,"and escaped. I swam out into the sea, heading for land",逃げ出し、陸に向かって海を泳ぎ出すと、,,
1.80.,K7708241UP,oni i= kesanpa hine,devil 4.O= end-hold-TR.PL and,The demon came chasing after me,⻤が追いかけて来た。,,
1.81,K7708241UP,neun e= kira h_ike a= e= oskoni somo ki e= ki p ne y_a?,where 2.SGS= escape but 4.A= 2.SG.O= catch.up.with NEG do 2SG.A= do NMLZ COP Q,“Where are you going? Do you think I can’t catch up to you?”,「どこへ逃げようが、追いつかれないと思っているのか」,,
1.82,K7708241UP,sekor hawean kor ki,QUOT voice-POSS-exist.SG and do PERF.SG but,"saying so, he was chasing me",と⾔いながら追いかけてくる。,,
1.83,K7708241UP,i= oskoni noyne humi an h_i kusu,4.O= catch.up.with look.as NONVIS.EV exist.SG NMLZ becuase,"Since I was about to be caught,",いまにも追いつかれそうになったので、,,
1.84,K7708241UP,kunne katak sioka un a= osura ruwe ne akusu,be.black thread-lump RELF-behind to/at 4.A= throw.away-TR.SG INFR.EV COP then,"I threw the ball of black string behind me,",⿊い⽟を後ろへ投げると、,,
1.85,K7708241UP,i= etokoho *sirkun i= okake sirkunne,4.O= before-POSS -- -- 4.O= end/behind-place NI.appearance-black,then the area behind me became black,私の後ろが暗くなった。,,
1.86,K7708241UP,retar katak *sio,be.white thread-lump -- --,[When I threw] the ball of white string,⽩い⽷⽟を,,
1.87,K7708241UP,sietok un a= osura kor retar katak siru emakkosanu hine,REFL-behind to/at 4.A= throw.away-TR.SG when/if be.white thread-lump RELF-track/path with.APPL-bright-suddenly.INTR.SG and,"in front of me, the area in front of me suddenly became bright with the ball of white string",前に投げると、⽩い⽷⽟で⽬の前はぱっと明るくなった。,,
1.88,K7708241UP,orano kira =an hine yan =an h_ine,then escape =4.S and land-INTR.SG =4.S and,I escaped and got back to land,そうして逃げて陸に上がると、,,
1.89,K7708241UP,konto a= uni ta an =an ka sitoma kusu,then 4.(A)= home.POSS at exist.SG =4.S even be.afraid.of because,"Since I was afraid to return to my house,",⾃分の家にいるのも恐ろしいので、,,
1.90.,K7708241UP,orowa konto oyak ta arpa =an h_ine,then then different.place at go.SG =4.S and,I went to live in another place,他の⼟地に⾏って暮らしていた。,,
1.91,K7708241UP,orano … orano an =an,then -- then exist.SG =4.S,"And then,",そして、,,
1.92,K7708241UP,orano nea retar katak kunne katak a= epirka,then that be.white thread-lump be.black thread-lump 4.A= with.APPL-be.good,I [used] the ball of white string and the ball of black string and made a lot of money,例の⽩い⽷⽟、⿊い⽷⽟で⼤もうけした。,,
1.93,K7708241UP,nea ane kem ruwe kem ne yakka a= epirka kor an =an akusu,that be.thin needle be.thick needle COP although 4.A= with.APPL-be.good and exist.SG =4.S then,I also [used] the thin needle and the thick needle for lots of money and lived [using that money],細い針、太い針でも⼤もうけして暮らしていた。,,
1.94,K7708241UP,oro ta suy i= penake ta wen kur okkaypo an a p,place-POSS at again 4.O= the.upper.part.of.a.river-place at poor person man-DIM exist.SG PERF.SG but,"Up the river, there was a poor young man",すると、川上にも貧乏⼈の若者がいたのだが、,,
1.95,K7708241UP,oro ta san h_ine,place-POSS at front.place-INTR.SG and,He came to see me one day [and asked],私のところにやってきて、,,
1.96,K7708241UP,a= kor okkaypo mak ki hine ene nispa ne ru an?,4.A= have man-DIM how do and like.this rich.man COP INFR.EV exist.SG,"“Brother, how did you become so rich?”",「相棒よ、どうやってこんな⻑者になったんだ？」,,
1.97,K7708241UP,sekor hawean h_i kusu,QUOT voice-POSS-exist.SG NMLZ becuase,he asked,と⾔うので、,,
1.98,K7708241UP,tapne kane ne ruwe ne.,this-as somewhat COP INFR.EV COP,"“This and that happened.""",「かくかくしかじか」,,
1.99,K7708241UP,sekor hawean =an akus,QUOT voice-POSS-exist.SG =4.S then,I told him,と⾔うと、,,
1.100.,K7708241UP,pis ta san ruwe ne h_ine,beach at front.place-INTR.SG INFR.EV COP and,He went down to the seashore,浜へ下りていった。,,
1.101,K7708241UP,akusu oni an h_ine,then devil exist.SG and,The demon was down there,すると⻤がいて、,,
1.102,K7708241UP,suy oni uni ta a= tura wa arpa hine,again devil home.POSS at 4.A= go.together.with and go.SG and,[The young man] was caught and taken to the demon's house,また⻤の家に連れられていって、,,
1.103,K7708241UP,oni ekimne okake ta,devil go.to.the.mountains end/behind-place at,"After the demon went to the mountain,",⻤が⼭に⾏った後で,,
1.104,K7708241UP,ne pon oni kowepekennu hine,this/that be.small devil to.APPL-ask and,he asked the little demon,⼩⻤に尋ねて、,,
1.105,K7708241UP,retar katak kunne katak uk h_ine,be.white thread-lump be.black thread-lump take.SG and,and snatched away the ball of white string and the ball of black string,⽩い⽷⽟、⿊い⽷⽟をうばい、,,
1.106,K7708241UP,oraun ane kem ruwe kem uk h_ine,then be.thing needle be.thick needle take.SG and,"Then, he took away the thin needle and the thick needle",それから細い針、太い針をうばうと、,,
1.107,K7708241UP,ne ane kem pon oni hekote turi ruwe ne hine,this/that be.thin needle be.small devil towards stretch-TR.SG INFR.EV COP and,"Holding the thin needle out toward the little demon,",その細い針を⼩⻤に向かって伸ばして、,,
1.108,K7708241UP,pon oni ray rapokke,be.small devil die during-place,the little demon died,⼩⻤が死ぬと,,
1.109,K7708241UP,kira ruwe ne p,escape INFR.EV COP but,"Then, [the young man] escaped",逃げ出した。,,
1.110.,K7708241UP,ene oni WA,like.this devil --,"Then, the demon [said,]",すると⻤は,,
1.111,K7708241UP,te ta ka ene an wen puri kor a wenkur,here at even like.this exist.SG be.bad behavior have PERF.SG poor-person,"“Again, an ill‐natured poor man",「またあの根性の悪い貧乏⼈が、,,
1.112,K7708241UP,suy a= kor mampuri eikka siri ene an,again 4.A= have amulet about.APPL-steal VIS.EV like.this exist.SG,"has come to steal my treasures.""",また俺の宝を盗みやがったな」,,
1.113,K7708241UP,sekor hawean kor kesanpa hine,QUOT voice-POSS-exist.SG when/if NI.end-hold-TR.PL and,"he said, and chased after the young man",と⾔うと、追いかけてきて、,,
1.114,K7708241UP,tane a= uk noyne humas h_i ta,now 4.A= take.SG look.as sound/feeling-stand.SG thing/place/time at,"and just as he was about to be caught,",今にもつかまりそうになった時に、,,
1.115,K7708241UP,retar katak sietok un osura,be.white thread-lump REFL-before to/at throw.away-TR.SG,[he intended to throw] the ball of white string forward and,⽩い⽷⽟を前に、,,
1.116,K7708241UP,kunne katak sioka un osura humi ne kunak ramu a p,be.black thread-lump RELF-behind to/at throw.away-TR.SG NONVIS.EV COP going/expected/should.COMP think PERF.SG but,he intended to throw the ball of black string backward,⿊い⽷⽟を後ろに投げるつもりだったのだが、,,
1.117,K7708241UP,a= kimatekka p ne kusu,4.A= panic-CAUS NMLZ COP because,"But since he was in a hurry,",あわてたものだから、,,
1.118,K7708241UP,kunne katak sioka un sietok un osura,be.black thread-lump REFL-behind to/at -- REFL-before to/at throw.away-TR.SG,[he ended up throwing] the ball of black string forward,⿊い⽷⽟を前に投げ、,,
1.119,K7708241UP,retar katak sioka un osura hine,be.white thread-lump REFL-behind to/at throw.away-TR.SG and,and the ball of white string backward,⽩い⽷⽟を後ろに投げてしまい、,,
1.120.,K7708241UP,oro ta oni ek h_ine,place-POSS at devil come.SG and,There came the demon,そこに⻤がやってきて、,,
1.121,K7708241UP,KONOYARO te ta ka ene an wen puri e= kor a kusu,-- here at even like.this exist.SG be.bad behavior 2.SG.A= have PERF.SG because,"“You’re finished. You’ve done something bad again to me,",「この野郎。またこんな悪いことをしやがったから、,,
1.122,K7708241UP,a= e= uk wa a= e= ponekonukunuku p ne na,4.A= 2.SG.O= take.SG and 4.A= 2.SG.O= NI.bone-with.APPL-gnaw-TR.SG-gnaw-TR.SG NMLZ COP SGST,"so I’m going to catch you and gnaw on you, bones and all.""",つかまえて⾻ごとかじってやるぞ」,,
1.123,K7708241UP,sekor hawean kor,QUOT voice-POSS-exist.SG and,he said and,と⾔いながら、,,
1.124,K7708241UP,nani a= eoma h_ine arpa hine,immediately 4.A= head.POSS.PF-enter and go.SG and,[the young man] was immediately caught and [the demon] went away,すぐに若者を捕まえて⾏ってしまい,,
1.125,K7708241UP,ne wa an pe ani,COP and exist.SG thing/person by/with ,And so,それで,,
1.126,K7708241UP,nep okkaypo tu ray wen ray sekor,what man-DIM be.tragic die be.bad die QUOT,the young man ended up dying this dreadful way,その若者はひどい死に様をとげたと。,,
2.1,K7708242UP,"ne ene iki wa an pe a= ne hi ka a= eramiskari no,",what like.this APASS-do and exist.SG thing/person 4.A= COP thing/place/time even 4.A= not.know and,"I don’t know why it happened,",どうしてそういうことになっているのかわからないが、,,
2.2,K7708242UP,poro cise or_ ta yayesikarun =an,be.big/old house place at RELF-recall =4.S,"but as long as I remember, I lived in a big house",物⼼ついたときには、私は⼤きな家に住んでいた。,,
2.3,K7708242UP,"matkaci a= ne hine an =an pe ne ruwe ne h_ine,",girl 4.A= COP and exist.SG =4.S NMLZ COP INFR.EV COP and,I was a girl,私は⼥の⼦であった。,,
2.4,K7708242UP,"nen i= epakasnu ka somo ki korka,",who 4.O= about.APPL-teach.to even NEG do but,"Nobody really taught me,",誰に教わったわけでもないけれど、,,
2.5,K7708242UP,"nep ne ruwe ne ya muye a= kar wa,",what COP INFR.EV COP Q sheaf 4.A= make and,[but I have memories of] taking things bundled,なんだか束になって,,
2.6,K7708242UP,"parka esik wa okay pe,",shelf by.APPL-be.full and exist.PL thing/person,on the shelves,棚の上いっぱいにあるものを、,,
2.7,K7708242UP,yayesikarun =an h_i orano a= rapte,REFL-recal =4.S thing/place/time then 4.A= low.place-INTR.PL-CAUS,(I have memories of) and lowering them,物⼼つくようになってから、下におろした。,,
2.8,K7708242UP,ni a= kor a= otkeotke wa a= rapte wa,tree 4.A= have 4.A= prick-prick and 4.A= low.place-INTR.PL-CAUS and,"I used a stick to pull them down,",棒でつっつきつっつきしておろして、,,
2.9,K7708242UP,"wor a= omare wa a= huraye wa,",water 4.A= enter-CAUS and 4.A= wash-TR.SG and,and I put them in water and washed,⽔に漬けて洗い、,,
2.10.,K7708242UP,"nen i= epakasnu somo ki korka,",who 4.O= about.APPL-teach.to NEG do but,"Nobody really taught me,",誰におそわったわけでもないが、,,
2.11,K7708242UP,ape a= ari,fire 4.A= put/place.PL,but I started a fire,⽕をたいた。,,
2.12,K7708242UP,"ni poronno sem or_ ta okay pe ne kus,",firewood be.big-EP-ADV porch place at exist.PL NMLZ COP because,"There was lots of firewood in the shed,",薪がたくさん物置にあったので、,,
2.13,K7708242UP,ape a= ari wa a= supa wa a= e kor,fire 4.A= put/place.PL and 4.A= cook.PL and 4.A= eat and,and I used that to make a fire and cook food,⽕をたいて料理して⾷べ、,,
2.14,K7708242UP,keraan h_ike a= e kor an =an,tast-exist.SG one.of 4.A= eat and exist.SG =4.S,I ate many delicious things everyday,おいしいものを⾷べて暮らしていた。,,
2.15,K7708242UP,"oraun so noski pakno tumun rikin wa an pe ne kusu,",then sitting.place middle till-ADV dust upper.place-EP-INTR.SG and exist.SG NMLZ COP because,There was trash piled to the middle of the floor,そして、床の真ん中までごみが積もっていたので、,,
2.16,K7708242UP,orano tumun. nep *aeyay. NANI TUKAUMONODEMO ARUKARA,then dust -- what -- -- -- -- --,"The trash, there were many …[many tools],",そこでごみ、何でも…何の道具でもあるから,,
2.17,K7708242UP,"konto, nep aeyayramekotep ne yakka okay pe ne kusu,",then what 4.A-with.APPL-live-thing COP although exist.PL NMLZ COP because,"There were all sorts of tools, so",なんの道具でもそろっていたから、,,
2.18,K7708242UP,ani a= ninpa wa soy a= omare wa soy a= omare,by/with 4.A= pull.along-TR.PL and outside 4.A= enter-CAUS and outside 4.A= enter-CAUS,"I used them to pull the trash outside,",それでごみを引きずり出して、外へ捨て捨てし、,,
2.19,K7708242UP,cise onnay ka pirkano a= kar,house inside even be.good-ADV 4.A= make,and I cleaned the house up,家の中をきれいにした。,,
2.20.,K7708242UP,orano mintar or ka mun sak no pirkano an =an kuni ne cise okari muni a= kar,then earth.floor place even dust lack and be.good-ADDV exist.SG =4.S in.order this/that house around dust-POSS 4.A= make,I cleared all of the trash out of the porch and tidied up the area,それから⼟間にもごみもなくきれいにすごせるようにし、家のまわりも掃除した。,I cleaned around the house as well,
2.21,K7708242UP,"nep aeyayramekotep ne yakka okay pe ne kusu,",what 4.A-with.APPL-live-thing COP although exist.PL NMLZ COP because,All sorts of tools were available,なんの道具でもそろっているので、,,
2.22,K7708242UP,cise onnay un. ka pirkano a= kar,house inside -- even be.good-ADV 4.A= make ,so I cleaned inside the house,家の中もきれいにし、,,
2.23,K7708242UP,"cise okari ka mun_ sak no a= kar wa pirkano an =an kuni ne h_ike,",house around even dust lack and 4.A= make and be.good-ADV exist.SG =4.S in.order COP but,and got rid of the trash around the house so that I could live in a clean place,家のまわりもごみがなく、きれいにすごせるように、,,
2.24,K7708242UP,"nay or un ka pirkano sirotuye =an wa,",stream place to/at even be.good-ADV NI.appearance-bottom.PF-cut.TR.SG =4.S and,I cut the grass to the water,沢のところまできれいに草刈をした。,,
2.25,K7708242UP,"nay or un wakkata =an yakka kusawawa(?) wen kikir oka wa a= sitoma p ne kusu,",-- be.bad insect exist.PL and 4.A be.afraid.of NMLZ COP because,"If one fetches water from the stream, there are many scary insects,",沢で⽔汲みをしても悪い⾍がいて恐ろしいので、,,
2.26,K7708242UP,"orowa pirkano sirotuye =an, sepno ki wa,",then be.good-ADV NI.appearance-bottom.PF-cut.TR.SG =4.S wide-ADV do and,so I cut there the grass properly making [the area] open,そこできれいに広々と草を刈って,,
